"nom","id_escalier","type_esc","nb_marche","rampe","etage","etage","transport","compatibilite_pmr","localisation"
"Châtelet",1378391,"EF",23,"NON",-1,,,,"POINT (1651995.7449426712 8184638.385698134)"
"Châtelet",1378395,"EF",23,"NON",-2,,,,"POINT (1652004.7792806423 8184625.279902535)"
"Châtelet",1378401,"EF",23,"NON",-2,,,,"POINT (1652039.0840509431 8184572.911328997)"
"Châtelet",1378394,"EF",23,"NON",-2,,,,"POINT (1652026.5649784207 8184564.669517876)"
"Châtelet",1378407,"EM",0,"NON",-1,,,,"POINT (1652031.0430485331 8184585.4268427)"
"Châtelet",1378390,"EF",23,"NON",-2,,,,"POINT (1651983.5632124457 8184630.368412335)"
"Châtelet",1376555,"EF",0,"OUI",-3,,,,"POINT (1652194.2148136906 8184361.155304954)"
"Châtelet",1378386,"EF",7,"NON",-1,,,,"POINT (1652038.6190996089 8184524.042494543)"
"Châtelet",1376496,"EF",17,"OUI",-1,,,,"POINT (1652079.6693025439 8184400.770833146)"
"Châtelet",1376568,"EF",17,"OUI",-1,,,,"POINT (1652156.8765807438 8184367.856953897)"
"Châtelet",1376520,"EF",16,"NON",-1,,,,"POINT (1652220.7778959586 8184340.542988432)"
"Châtelet",1376556,"EF",19,"NON",-1,,,,"POINT (1652264.4139924035 8184320.412453188)"
"Châtelet",1376575,"EF",19,"OUI",-1,,,,"POINT (1651953.0613230697 8184566.413842143)"
"Châtelet",1376518,"EF",18,"NON",-1,,,,"POINT (1652036.6989930691 8184551.065099467)"
"Châtelet",1376565,"EF",23,"NON",-1,,,,"POINT (1652107.4008555138 8184490.816423598)"
"Châtelet",1376576,"EF",22,"OUI",-1,,,,"POINT (1652092.7098232226 8184591.437495839)"
"Châtelet",1376549,"EF",21,"OUI",-1,,,,"POINT (1652116.4480353806 8184379.59674842)"
"Châtelet",1378396,"EF",22,"OUI",-1,,,,"POINT (1652032.81145735 8184525.913400455)"
"Châtelet",1376501,"EF",0,"OUI",-1,,,,"POINT (1652031.169769166 8184553.813590442)"
"Châtelet",1376487,"EF",18,"NON",-1,,,,"POINT (1652028.7473337213 8184555.017749977)"
"Saint-Georges",1822260,"EF",5,"OUI",-1,,,,"POINT (1651424.8667970535 8186681.939785387)"
"Saint-Georges",1822259,"EF",5,"OUI",-1,,,,"POINT (1651414.043433659 8186673.074794413)"
"Saint-Georges",1822258,"EF",0,"OUI",-1,,,,"POINT (1651411.5538182312 8186669.500121411)"
"Saint-Georges",1822257,"EF",20,"OUI",-1,,,,"POINT (1651410.9863917124 8186666.546938547)"
"Saint-Georges",1822250,"EF",20,"OUI",-1,,,,"POINT (1651424.6233132163 8186689.028770104)"
"Saint-Georges",1822255,"EF",6,"OUI",-1,,,,"POINT (1651407.9793360827 8186670.584262241)"
"Saint-Georges",1822254,"EF",13,"OUI",-1,,,,"POINT (1651429.0020346441 8186701.325113817)"
"Saint-Georges",1822253,"EF",12,"OUI",-1,,,,"POINT (1651432.0435035082 8186698.139158013)"
"Saint-Georges",1822252,"EF",10,"OUI",-1,,,,"POINT (1651433.7063806206 8186701.45075995)"
"Saint-Georges",1822256,"EF",0,"NON",-1,,,,"POINT (1651413.5303570873 8186669.9223455675)"
"Saint-Georges",1822251,"EF",27,"OUI",0,,,,"POINT (1651403.0208350334 8186676.538536728)"
"Lourmel ",1592242,"EF",5,"OUI",-1,,,,"POINT (1647334.7860665591 8182349.068333578)"
"Lourmel ",1592245,"EF",21,"OUI",-1,,,,"POINT (1647319.9574467586 8182337.347053125)"
"Lourmel ",1592244,"EF",21,"OUI",-2,,,,"POINT (1647325.7998871426 8182330.099494426)"
"Lourmel ",1592243,"EF",21,"OUI",0,,,,"POINT (1647341.6211612455 8182352.03525858)"
"Lourmel ",1592246,"EM",0,"OUI",0,0,"M","Non","POINT (1647260.0829000114 8182295.787200937)"
"Bussy-Saint-Georges",1340261,"EF",0,"OUI",0,,,,"POINT (1678706.411439777 8181858.179818567)"
"Bussy-Saint-Georges",1340257,"EF",0,"OUI",0,,,,"POINT (1678701.0139796443 8181857.244677862)"
"Bussy-Saint-Georges",1340266,"EF",0,"OUI",0,,,,"POINT (1678697.9547550129 8181880.361399015)"
"Bussy-Saint-Georges",1340264,"EF",0,"OUI",0,,,,"POINT (1678703.369744017 8181881.3057941925)"
"Bussy-Saint-Georges",1340259,"EM",0,"OUI",0,,,,"POINT (1678701.2337173955 8181883.039082998)"
"Bussy-Saint-Georges",1340256,"EF",14,"NON",-1,,,,"POINT (1678867.2409105967 8181892.003244039)"
"Bussy-Saint-Georges",1340253,"EF",,"OUI",-1,,,,"POINT (1678876.7047768855 8181893.650141169)"
"Bussy-Saint-Georges",1340258,"EF",14,"OUI",-1,,,,"POINT (1678864.974488219 8181904.292537462)"
"Bussy-Saint-Georges",1340265,"EF",0,"OUI",0,,,,"POINT (1678870.9347296876 8181888.4705419745)"
"Bussy-Saint-Georges",1340262,"EF",0,"OUI",0,,,,"POINT (1678877.228941643 8181889.567885103)"
"Bussy-Saint-Georges",1340255,"EF",0,"OUI",0,,,,"POINT (1678879.4845246836 8181894.129664236)"
"Bussy-Saint-Georges",1340267,"EF",0,"NON",0,,,,"POINT (1678867.3403304047 8181908.9444600055)"
"Bussy-Saint-Georges",1340263,"EF",0,"NON",0,,,,"POINT (1678876.4878954187 8181906.284975816)"
"Bussy-Saint-Georges",1340260,"EF",0,"NON",0,,,,"POINT (1678873.633380682 8181910.047812574)"
